raum,jahr,tau,n,n_edges,n_iso,mean_deg,moran_I,E_I,sd_I,z_score,p_analyt
nativ,2019,0.65,14412,145298,2225,20.163474882042742,0.4568606486341467,-8.206138191367142e-5,0.0056072203346153775,81.49184136660183,0
nativ,2020,0.65,14412,158879,1632,22.048154315847903,0.49931368691640865,-7.825338445887784e-5,0.005110265430526697,97.72328797594315,0
nativ,2021,0.65,14412,167829,1372,23.290174854288093,0.5036655910710574,-7.669299792928905e-5,0.00487498470319388,103.33207481429767,0
nativ,2022,0.65,14412,184880,1225,25.6563974465723,0.5182847122526494,-7.583801001061732e-5,0.004652161327965408,111.42359727437949,0
nativ,2023,0.65,14412,200853,1105,27.87302248126561,0.49987754033933013,-7.515406583496167e-5,0.00440144889635201,113.58820837827602,0
nativ,2024,0.65,14412,196870,1132,27.320288648348598,0.5171957406378528,-7.530687551773477e-5,0.004278135362101148,120.91039757548013,0
nativ,2016,0.7,14412,141140,5930,19.586455731334997,0.30752907720531913,-1.1791062374719962e-4,0.008870908652812266,34.68043690558528,7.769210630785729e-264
nativ,2017,0.7,14412,70349,5660,9.76255897862892,0.341767233385356,-1.1427265455376528e-4,0.00877287207151629,38.970305648241315,0
nativ,2018,0.7,14412,64271,4942,8.91909519844574,0.3916760195037958,-1.0560777273207308e-4,0.008219176483945583,47.666773920938446,0
nativ,2019,0.7,14412,67942,3879,9.428531779072994,0.4373662603556007,-9.494872768704899e-5,0.007291623381445342,59.99503624892026,0
nativ,2020,0.7,14412,77338,3065,10.732445184568416,0.4863316306347389,-8.813678829543451e-5,0.0066199522626787305,73.47783611149592,0
nativ,2021,0.7,14412,82969,2742,11.513877324451846,0.493432670265753,-8.56971462850287e-5,0.006409279886615393,77.00059540895705,0
nativ,2022,0.7,14412,92603,2495,12.850818762142659,0.5186940972577154,-8.392077878482712e-5,0.006172863601345722,84.04171087198549,0
nativ,2023,0.7,14412,99561,2256,13.816402997502081,0.5038701658916905,-8.227067050596462e-5,0.005905963695665255,85.32941659158483,0
