k,steps,jahr,module,Q,top1,top2,rosenbluth
15,3,2016,110,0.716067429889104,0.1872744934776575,0.33284762697751874,0.028783932765590298
15,3,2017,76,0.7397163020180807,0.22398001665278935,0.382736608381904,0.04651463022611817
15,3,2018,85,0.7424884418533103,0.2526366916458507,0.32014987510407994,0.03600371728638094
15,3,2019,82,0.7707835687181666,0.21822092700527337,0.2996114349153483,0.034921588772365134
15,3,2020,108,0.7782043968809252,0.16541770746600057,0.21884540660560645,0.024536660276556696
15,3,2021,103,0.770637922136639,0.21135165140160977,0.31439078545656396,0.02795428624630496
15,3,2022,106,0.7810624298517674,0.1760338606716625,0.25596724951429367,0.025069754173073847
15,3,2023,102,0.7684510826801237,0.2080210935331668,0.27532611712461835,0.02614791752846661
15,3,2024,94,0.7804225725555826,0.20149875104079934,0.2760199833472107,0.02940156432969248
15,4,2016,115,0.7215561668111896,0.14217318900915904,0.27844851512628366,0.024844934646719923
15,4,2017,92,0.7358848227105835,0.22620038856508465,0.30287260616153205,0.03202880192012801
15,4,2018,86,0.7610131436104293,0.18012767138495697,0.27456286427976684,0.0332777626407932
15,4,2019,88,0.777824237155431,0.17131557035803496,0.24743269497640855,0.030807379064149976
15,4,2020,93,0.783921003488599,0.18373577574243685,0.24222869830696642,0.02936143164482691
15,4,2021,85,0.7821559511108113,0.2112128781570913,0.28309741881765194,0.03296100118011911
15,4,2022,96,0.7819462983242355,0.17082986400222036,0.21405772966971967,0.026697491413900036
15,4,2023,89,0.786794942941512,0.17707466000555094,0.28240355259505967,0.030759905406674462
15,4,2024,87,0.7933313921903759,0.14807105190119346,0.27255065223424924,0.03222517373688588
15,5,2016,118,0.7242669026519057,0.1162225922842076,0.2243269497640855,0.02333496326184316
15,5,2017,56,0.7343344118224904,0.2543713572023314,0.35685539827921176,0.05786882744553216
15,5,2018,64,0.7681995227675379,0.17638079378295865,0.3486677768526228,0.05074647887323944
15,5,2019,60,0.7902458533379358,0.20489869553150153,0.3029419927837913,0.048991413245222215
15,5,2020,78,0.7835771426186807,0.1872051068553983,0.2493061337774077,0.03571782619902056
15,5,2021,70,0.7954159802632776,0.18102969747432696,0.30231751318345823,0.04206114801368183
15,5,2022,80,0.7880997407637331,0.17589508742714405,0.2472939217318901,0.0360060559727781
15,5,2023,89,0.7942542915875052,0.152789342214821,0.23695531501526507,0.03004102187833511
15,5,2024,91,0.7803429170608769,0.17908687205106855,0.2543713572023314,0.02955968134942448
15,6,2016,98,0.7242234287457602,0.13509575353871772,0.24805717457674162,0.028055503644178657
15,6,2017,114,0.7339652040786084,0.10054121565362198,0.17117679711351652,0.021820097745317128
15,6,2018,59,0.7590874158911088,0.24014709963918957,0.3218151540383014,0.052586640979048534
15,6,2019,71,0.78723626462338,0.16701359977796282,0.23966139328337496,0.037734465821140935
15,6,2020,62,0.7940109815829156,0.1867194004995837,0.27865667499306135,0.04595985687771464
15,6,2021,71,0.7944988428525676,0.167985012489592,0.32646405772966974,0.042418177537085
15,6,2022,69,0.7901410861379603,0.20177629752983625,0.32750485706355814,0.046064154851247166
15,6,2023,76,0.799392640378451,0.15507910074937553,0.26235081876214267,0.036748994068959186
15,6,2024,73,0.7924264007589232,0.19310296974743268,0.2851096308631696,0.03956949096699797
15,7,2016,75,0.7301711963857797,0.18595614765473217,0.30259505967249517,0.04001754863359453
15,7,2017,84,0.7507533158004108,0.10477379961143492,0.20829864002220372,0.031172539095451302
15,7,2018,82,0.7598349081250835,0.19053566472384123,0.25166527893422147,0.03285565125408644
15,7,2019,56,0.7986664598517959,0.161601443241743,0.2653344435192895,0.05063131046984676
15,7,2020,68,0.7931950972049892,0.1791562586733278,0.3064113238967527,0.04099349201292495
15,7,2021,90,0.7983829766677686,0.11990008326394672,0.20864557313349985,0.028346419523861972
15,7,2022,72,0.8006746990550261,0.15896475159589232,0.21870663336108798,0.03866771841143612
15,7,2023,66,0.8002696922421539,0.17790729947266168,0.3061337774077158,0.04489048366599387
15,7,2024,70,0.7951598942665934,0.1594504579517069,0.2649181237857341,0.040155137249657295
15,8,2016,91,0.7256049083997066,0.12101026922009436,0.22689425478767694,0.03047926809151394
15,8,2017,80,0.7482187199240963,0.1242714404662781,0.24174299195115181,0.033266240720907045
15,8,2018,48,0.7749268276302209,0.19303358312517346,0.3445045795170691,0.06696901544580955
15,8,2019,51,0.7927063830128973,0.1740216486261449,0.32611712461837356,0.05884418458422819
15,8,2020,58,0.7967476936599602,0.17249514293644186,0.27137107965584234,0.047883898490919605
15,8,2021,50,0.8029814213097389,0.16402997502081598,0.32653344435192894,0.05976958104891219
15,8,2022,51,0.798234919841444,0.17416042187066333,0.33923119622536774,0.06071892010313622
15,8,2023,72,0.7968066691188669,0.17686650013877325,0.29572578406883154,0.041342512908777974
