jahr_von,jahr_bis,cluster_alt,cluster_neu,schnitt,n_alt,n_neu,anteil_alt,anteil_neu,jaccard
2016,2017,15,32,1,240,39,0.004166666666666667,0.02564102564102564,0.0035971223021582736
2016,2017,15,46,1,240,79,0.004166666666666667,0.012658227848101266,0.0031446540880503146
2016,2017,15,73,1,240,1072,0.004166666666666667,9.328358208955224e-4,7.627765064836003e-4
2016,2017,16,30,36,38,40,0.9473684210526315,0.9,0.8571428571428571
2016,2017,16,73,1,38,1072,0.02631578947368421,9.328358208955224e-4,9.017132551848512e-4
2016,2017,17,14,87,95,123,0.9157894736842105,0.7073170731707317,0.6641221374045801
2016,2017,17,15,1,95,892,0.010526315789473684,0.0011210762331838565,0.0010141987829614604
2016,2017,17,36,3,95,107,0.031578947368421054,0.028037383177570093,0.01507537688442211
2016,2017,17,73,1,95,1072,0.010526315789473684,9.328358208955224e-4,8.576329331046312e-4
2016,2017,18,28,43,44,44,0.9772727272727273,0.9772727272727273,0.9555555555555556
2016,2017,19,7,1,102,1868,0.00980392156862745,5.353319057815846e-4,5.078720162519045e-4
2016,2017,19,22,95,102,111,0.9313725490196079,0.8558558558558559,0.8050847457627118
2016,2017,19,23,1,102,40,0.00980392156862745,0.025,0.0070921985815602835
2016,2017,20,5,46,51,67,0.9019607843137255,0.6865671641791045,0.6388888888888888
2016,2017,20,15,1,51,892,0.0196078431372549,0.0011210762331838565,0.0010615711252653928
