cluster,gruende,n_subs,n_c_2016,n_c_2024,mittel_2016,mittel_2024,anteil_16_pz,anteil_24_pz,d_beitrag,bei_position,bei_anteil,treiber,pct_2016,pct_2024,d_pct,tau_pct,d_ext,tau_ext,woerter_2016,mitglieder,label,kategorie,nachfolger_cl,woerter_nachfolger_2024
10,rein_in_mitte,55,55,55,-0.547007185977861,-0.5301185525363641,1.2804894877697264,0.603084634432301,-4.4384987596215314e-4,-5.101263032309363e-4,6.62764272687833e-5,Position,0.3136371842636511,0.3454495031782098,0.03181231891455871,0.3333333333333334,-0.11507216275629295,-0.44444444444444453,"bike, bikes, ride, riding, motorcycle, road, helmet, rider, engine, rear, miles, gear","motorcycles, CalamariRaceTeam, motogp, MotoUK, Harley, Dualsport, bikesgonewild, Fixxit, scooters, supermoto",,,17,"bike, bikes, riding, ride, motorcycle, engine"
44,rein_in_mitte,45,45,45,0.6256460173343817,0.4286022792789622,1.0302686948541921,0.4245072813853772,-4.879034085978495e-4,-5.38449486626185e-4,5.054607802833548e-5,Position,0.6314992009521708,0.6290282448011155,-0.0024709561510553035,-0.3333333333333334,-0.08304997199392716,-0.3333333333333334,"wear, watch, pair, leather, fit, shoes, watches, jeans, boots, look, size, jacket","malefashionadvice, Watches, frugalmalefashion, goodyearwelt, rawdenim, malehairadvice, fragrance, malefashion, Watchexchange, TeenFA",,,82,"batch, yvl, size, shipping, pandabuy, link"
22,traegt_2024,660,660,657,-0.2821575111460719,-0.3334892177828671,4.651113683728783,2.634029759541414,-6.571686799977305e-4,-8.907730863102937e-4,2.3360440631256296e-4,Position,0.4138407910117605,0.4303878664105102,0.016547075398749667,-0.27777777777777785,-0.03759304930401697,-0.1666666666666667,"song, music, album, songs, guitar, band, sound, bass, track, rock, sounds, listen","Music, Guitar, radiohead, indieheads, makinghiphop, vinyl, Metal, listentothis, Monstercat, edmproduction",,,50,"song, album, music, songs, band, guitar"
78,beitrag_runter+rein_in_mitte,40,40,35,0.5957438306849654,0.27534825910655697,0.8243939744531472,0.14724497942330445,-8.04839817380295e-4,-7.415561193327268e-4,-6.328369804756818e-5,Position,0.6756875488957093,0.6221642260398457,-0.053523322855863587,-0.3333333333333334,-0.14244227604033333,-0.22222222222222227,"legion, raid, dps, guild, mythic, blizzard, wow, server, pvp, gear, level, class","wow, starcraft, wowservers, woweconomy, LivestreamFail, Ice_Poseidon, forsen, worldofpvp, Nostalrius, Destiny",,,191,"game, poe, gear, damage, pvp, build"
75,beitrag_runter,191,191,187,-0.35710615381696703,-0.3637289213050083,2.0409124328446127,0.9080582332593257,-8.219404067040981e-4,-8.747398260283204e-4,5.279941932422237e-5,Position,0.3841407604084255,0.4201706625161812,0.036029902107755696,-0.055555555555555566,0.0015454783964343743,0.11111111111111113,"feel, life, relationship, friends, anxiety, day, talk, help, never, person, someone, something","stopdrinking, raisedbynarcissists, depression, relationship_advice, ForeverAlone, offmychest, ADHD, DeadBedrooms, bipolar, confession",,,167,"relationship, feel, life, dating, friends, someone"
38,beitrag_runter,32,32,32,1.1305168214326085,0.8820174551519291,2.5474396781227564,1.1868394043903963,-9.109028963329075e-4,-0.0010421621709726602,1.3125927463975264e-4,Position,0.8358777908166336,0.7753059243595521,-0.06057186645708146,-0.1666666666666667,-0.03403328815387585,-0.11111111111111113,"army, military, navy, recruiter, duty, school, job, unit, officer, enlisted, training, years","army, AirForce, Military, USMC, navy, newtothenavy, USMCboot, navyseals, ROTC, Militaryfaq",,,36,"army, military, claim, recruiter, navy, duty"
11,beitrag_runter,40,40,40,0.5912098408912205,0.12087161940809459,0.8109545994278147,0.04183293056316585,-0.0010135678424927272,-0.001039976519730739,2.6408677238011834e-5,Position,0.6919901305891557,0.5609734114465976,-0.13101671914255808,-0.38888888888888895,-0.018834145234895183,-0.22222222222222227,"race, car, racing, cars, driver, drivers, nascar, hamilton, ferrari, races, track, lap","formula1, NASCAR, TopGear, thegrandtour, simracing, INDYCAR, wec, iRacing, assettocorsa, dirtgame",,,75,"race, car, cars, racing, races, max"
57,beitrag_runter,92,92,90,0.411960726956302,-0.019133897929465314,0.8467035187805825,7.380299500961789e-4,-0.0011507230442735854,-0.00116323276499785,1.250972072426483e-5,Position,0.6233552072131473,0.5335004988001834,-0.08985470841296395,-0.3333333333333334,-0.012696086268937756,0.11111111111111113,"weight, calories, eat, fat, lbs, gym, day, eating, protein, keto, diet, body","Fitness, bodybuilding, loseit, keto, steroids, powerlifting, Weakpots, bodyweightfitness, progresspics, crossfit",,,133,"weight, calories, eating, eat, fat, protein"
45,beitrag_runter+rein_in_mitte,33,33,33,-0.7595059501450853,-0.4126692720535766,1.4229433159721359,0.2111364426572194,-0.001481831053389049,-0.0015344725460878753,5.264149269882641e-5,Position,0.28727061187794173,0.39226808942897273,0.104997477551031,0,-0.09397999793264111,0.1666666666666667,"seattle, mariners, seahawks, year, game, team, portland, season, last, right, city, line","Mariners, Seahawks, SeattleWA, ripcity, Eugene, alaska, Spokane, askportland, PokemongoSeattle, ducks",,,101,"san, area, bay, city, parking, beach"
20,beitrag_runter+rein_in_mitte,51,51,47,0.7141300986675615,0.2423403907993221,1.5483592238480233,0.15762962681762482,-0.0017677482574549705,-0.0017215930581707295,-4.61551992842411e-5,Position,0.695902023323622,0.6017772414846044,-0.09412478183901762,-0.27777777777777785,-0.1734798973483403,-0.44444444444444453,"size, supreme, shoes, pair, tee, hoodie, black, adidas, fit, shoe, cop, wear","streetwear, Sneakers, supremeclothing, FashionReps, Repsneakers, sneakermarket, streetwearstartup, PalaceClothing, chanzhfsneakers, DesignerReps",,,82,"batch, yvl, size, shipping, pandabuy, link"
