raum,jahr,tau,n,n_edges,n_iso,mean_deg,moran_I,E_I,sd_I,z_score,p_analyt
aligned,2024,0.6,28848,1787590,1202,123.93164170826401,0.5180511495195453,-3.617290649303671e-5,0.0018566888323048255,279.0383145585595,0
aligned,2016,0.65,16618,482540,3929,58.0743771813696,0.40716459877560257,-7.881462799495586e-5,0.005957825090228332,68.35437550382838,0
aligned,2017,0.65,18426,380837,3982,41.336915228481494,0.42206068996892043,-6.923769300006924e-5,0.005497685475255197,76.78320805399034,0
aligned,2018,0.65,20255,345182,3663,34.083633670698596,0.4611468849264394,-6.027364233620638e-5,0.004858183933353977,94.93406690560786,0
aligned,2019,0.65,22409,437675,2953,39.0624302735508,0.4839787279113097,-5.1400668208686716e-5,0.004034940541802348,119.95966819459237,0
aligned,2020,0.65,24842,469991,2385,37.83841880685935,0.522374821040101,-4.453152832205201e-5,0.003463134035722856,150.8516122043134,0
aligned,2021,0.65,26930,541183,2204,40.191830672112886,0.5257608463146889,-4.044489383215369e-5,0.0031471117976117255,167.07423346305657,0
aligned,2022,0.65,28640,654937,2199,45.73582402234637,0.5459603945603705,-3.7821482602118e-5,0.0028558695438563593,191.18457886759637,0
aligned,2023,0.65,29446,848115,2232,57.604768049989815,0.5323842937773058,-3.674714290963877e-5,0.002636128780212704,201.97080086400615,0
aligned,2024,0.65,28848,933756,2261,64.73627287853577,0.5555111616633749,-3.761378168961107e-5,0.00256464337471753,216.61833412072457,0
aligned,2016,0.7,16618,254185,6314,30.591527259598028,0.3648031454532467,-9.705910899737941e-5,0.007840249124048711,46.54191452194689,0
aligned,2017,0.7,18426,189993,6589,20.622272875284924,0.3853881753265505,-8.448800270361608e-5,0.007250665092516151,53.16376613879515,0
aligned,2018,0.7,20255,157538,6321,15.555467785731919,0.428877774768481,-7.177205196296562e-5,0.006430039517879587,66.71025047788466,0
aligned,2019,0.7,22409,207050,5325,18.479182471328485,0.4715464321402754,-5.853772756541591e-5,0.005309292221171502,88.82633507857298,0
aligned,2020,0.7,24842,216880,4566,17.460751952338782,0.5222587774720895,-4.932182490752158e-5,0.004556052496460221,114.64049189573628,0
aligned,2021,0.7,26930,258061,4505,19.16531748978834,0.5261444032317089,-4.459507670353193e-5,0.004195488650183892,125.417809981526,0
aligned,2022,0.7,28640,305493,4415,21.333310055865923,0.5523053390038803,-4.128137384412153e-5,0.003866010922435197,142.8724934977167,0
aligned,2023,0.7,29446,384244,4150,26.098213679277322,0.5486224654771816,-3.953350464518679e-5,0.0035748327494812644,153.47906809386868,0
aligned,2024,0.7,28848,445803,3908,30.907029950083196,0.5709135947168207,-4.009783872649264e-5,0.00347158984536247,164.46461649790132,0
