linie,cl_2016,cl_2024,mean_z_2016,mean_z_2024,d_z,mean_pct_2016,mean_pct_2024,d_pct,min_jacc,merge_n,n_alt,n_gemeinsam,anteil_alt,woerter_2024
43,43,118,-0.0661065868075792,0.26244468605707877,0.32855127286465796,0.4798064900068872,0.6020783982929093,0.12227190828602214,0.3488372093023256,1,54,19,0.35185185185185186,"running, marathon, garmin, run, training, race"
44,44,82,0.6256460173343817,0.5823915407837756,-0.0432544765506061,0.6314992009521708,0.7134399919671321,0.08194079101496132,0.21739130434782608,2,45,0,0,"batch, yvl, size, shipping, pandabuy, link"
45,45,101,-0.7595059501450853,-1.1079303967779064,-0.3484244466328211,0.28727061187794173,0.23707005927826116,-0.050200552599680565,0.22727272727272727,5,33,0,0,"san, area, bay, city, parking, beach"
46,46,130,0.12495050795434536,0.23651866128708698,0.11156815333274163,0.5328198911878277,0.5971141269286995,0.06429423574087179,0.6216216216216216,1,91,72,0.7912087912087912,"cpu, gpu, motherboard, gaming, ram, monitor"
48,48,160,0.005758505866074109,0.14181174566496318,0.1360532397988891,0.49552585070858096,0.5754532221409193,0.07992737143233836,0.7142857142857143,1,98,83,0.8469387755102041,"code, python, data, project, programming, app"
49,49,152,-0.3283214418396134,-0.8140069390238746,-0.48568549718426113,0.3850968192907171,0.2695319856203137,-0.11556483367040338,0.2765957446808511,1,52,23,0.4423076923076923,"mobile, phone, verizon, service, xfinity, plan"
50,50,123,0.025314794685664777,-0.02203581881731479,-0.04735061350297957,0.5105103207558525,0.5212756657688765,0.010765345013024064,0.5384615384615384,1,80,37,0.4625,"linux, windows, ubuntu, install, arch, fedora"
51,51,163,0.07648337094511311,-0.2111668244136003,-0.2876501953587134,0.525297203849289,0.46398290724765606,-0.061314296601632956,0.696969696969697,1,88,51,0.5795454545454546,"phone, samsung, pixel, battery, screen, android"
52,52,161,0.18246189443827937,0.5079212127467551,0.3254593183084757,0.5510621652524523,0.693439773385695,0.14237760813324263,0.4864864864864865,1,103,47,0.4563106796116505,"security, network, server, windows, job, user"
54,54,87,-0.32150596245666996,1.1245707629740815,1.4460767254307516,0.39871095865679723,0.8448070487804699,0.44609609012367263,0.5384615384615384,1,50,16,0.32,"plant, plants, soil, leaves, pot, roots"
55,55,92,-0.3007337620219753,-0.6371365221738221,-0.3364027601518468,0.4074341537782592,0.330083727505679,-0.07735042627258021,0.22448979591836735,1,69,68,0.9855072463768116,"tank, fish, water, species, plants, snake"
56,56,101,-0.7436547036207917,-1.1079303967779064,-0.3642756931571147,0.2974015813878605,0.23707005927826116,-0.06033152210959933,0.22727272727272727,5,77,62,0.8051948051948052,"san, area, bay, city, parking, beach"
57,57,133,0.411960726956302,-0.2491389583607116,-0.6610996853170136,0.6233552072131473,0.45271073826278874,-0.17064446895035856,0.36363636363636365,1,92,27,0.29347826086956524,"weight, calories, eating, eat, fat, protein"
58,58,141,-0.20746066264750207,0.1433272745527171,0.35078793720021917,0.4562215672975738,0.5714534595874077,0.11523189228983388,0.7272727272727273,1,148,98,0.6621621621621622,"sauce, recipe, cheese, cook, chicken, pan"
59,59,177,0.3309901130148717,-0.018289202624763426,-0.3492793156396351,0.6006136643361601,0.5252643002763889,-0.07534936405977122,0.4634146341463415,1,73,64,0.8767123287671232,"games, steam, deck, game, screen, controller"
61,61,106,-0.29108749128771794,-0.29262823364682505,-0.0015407423591071168,0.41484039103194187,0.4273515278472466,0.012511136815304746,0.5757575757575758,1,72,61,0.8472222222222222,"ski, climbing, trail, hike, skis, hiking"
63,63,197,0.12912685588406958,0.5021777869230593,0.3730509310389897,0.5355180312330745,0.6721358718932123,0.13661784066013782,0.34210526315789475,1,320,227,0.709375,"guy, right, fucking, man, video, someone"
64,64,119,0.04635102605969994,-0.485414747400131,-0.531765773459831,0.5077417801823628,0.37891695094639366,-0.12882482923596916,0.3235294117647059,1,62,19,0.3064516129032258,"evidence, case, murder, crime, police, dna"
65,65,145,-0.26156841015749105,-0.33991728747604927,-0.07834887731855822,0.4081992573162141,0.4224881430969434,0.014288885780729288,0.35294117647058826,1,85,62,0.7294117647058823,"meditation, spiritual, tarot, energy, life, dream"
66,66,95,-0.05357487430352488,-0.7327655853588251,-0.6791907110553002,0.4841592781654165,0.29065340843898624,-0.19350586972643025,0.35714285714285715,3,91,0,0,"cat, cats, vet, kitten, kitty, litter"
67,67,95,-0.5323189239775633,-0.7327655853588251,-0.20044666138126177,0.312456928097343,0.29065340843898624,-0.02180351965835675,0.35714285714285715,3,31,9,0.2903225806451613,"cat, cats, vet, kitten, kitty, litter"
68,68,95,-0.524729395439199,-0.7327655853588251,-0.20803618991962602,0.3268565324667509,0.29065340843898624,-0.036203124027764655,0.35714285714285715,3,48,48,1,"cat, cats, vet, kitten, kitty, litter"
69,69,20,0.608069893588879,1.4475757506498925,0.8395058570610135,0.6984850147557368,0.8868054456868764,0.1883204309311396,0.32558139534883723,2,51,0,0,"car, pay, london, work, year, years"
70,70,155,0.1102546980796112,0.20989697543188576,0.09964227735227456,0.5283674440742504,0.5914594972367428,0.06309205316249245,0.3111111111111111,1,110,78,0.7090909090909091,"job, business, company, work, jobs, marketing"
72,72,159,-0.2652011741726577,-0.015670450461974447,0.24953072371068324,0.40685743515676714,0.5226401358893472,0.11578270073258007,0.5789473684210527,1,76,30,0.39473684210526316,"baby, sleep, kids, months, son, child"
73,73,100,0.44302262036624673,0.712403152417061,0.26938053205081425,0.6492844328272164,0.7345534080549854,0.085268975227769,0.375,1,69,44,0.6376811594202898,"engineering, voltage, power, radio, design, antenna"
74,74,104,0.2448454362053762,0.3044752362481132,0.05962980004273699,0.5695965280884863,0.6135363888975046,0.04393986080901835,0.4857142857142857,1,69,35,0.5072463768115942,"water, house, wall, wire, work, wood"
75,75,167,-0.35710615381696703,-0.2676991218533706,0.08940703196359645,0.3841407604084255,0.4391594362694393,0.05501867586101383,0.4838709677419355,1,191,58,0.3036649214659686,"relationship, feel, life, dating, friends, someone"
76,76,139,0.05881994968795555,-0.29749967211844974,-0.3563196218064053,0.5152840711221078,0.43124952688462637,-0.08403454423748147,0.3333333333333333,1,61,38,0.6229508196721312,"yarn, pattern, pen, stitch, pens, crochet"
77,77,184,0.2997231178791986,-0.11169975697316237,-0.41142287485236095,0.5986348997431701,0.47954343514695497,-0.11909146459621511,0.2,3,31,0,0,"game, remake, games, mgs, story, played"
78,78,191,0.5957438306849654,0.2709668369231085,-0.32477699376185687,0.6756875488957093,0.6106653142039234,-0.06502223469178581,0.24324324324324326,3,40,23,0.575,"game, poe, gear, damage, pvp, build"
80,80,97,0.448031779141849,0.12894022925957013,-0.31909154988227884,0.6273780481218647,0.5704378147764808,-0.056940233345383895,0.6857142857142857,1,78,64,0.8205128205128205,"players, team, season, league, club, player"
81,81,99,0.16263786896059304,-0.6088244072823371,-0.7714622762429302,0.5454624781849913,0.3598519308298488,-0.18561054735514249,0.7575757575757576,1,40,36,0.9,"patient, patients, nurse, nursing, school, hospital"
83,83,114,-0.28426566105124684,0.4974032504209082,0.7816689114721551,0.3988866823132936,0.6869166689262264,0.2880299866129328,0.4146341463414634,1,50,40,0.8,"pokemon, shiny, mon, pok, gen, mons"
84,84,194,0.33363011943951815,-0.4552588435503386,-0.7888889629898568,0.5993225942340432,0.3974247453082462,-0.20189784892579704,0.47368421052631576,1,124,59,0.47580645161290325,"game, ship, ships, build, base, war"
86,86,184,0.10584677754901241,-0.11169975697316237,-0.21754653452217476,0.5219534211951616,0.47954343514695497,-0.04240998604820667,0.3783783783783784,3,120,39,0.325,"game, remake, games, mgs, story, played"
87,87,186,0.7929109299385683,0.9463621905266555,0.15345126058808722,0.7357653078902402,0.7842818597409443,0.04851655185070414,0.3333333333333333,1,66,41,0.6212121212121212,"game, story, characters, games, persona, character"
88,88,176,0.024604483208929898,1.2410320935272097,1.2164276103182798,0.5009949128923673,0.8438952457394583,0.342900332847091,0.2903225806451613,1,154,35,0.22727272727272727,"mario, nintendo, game, switch, games, pikmin"
89,89,191,0.5315814565863377,0.2709668369231085,-0.2606146196632292,0.6536152735150749,0.6106653142039234,-0.04294995931115142,0.2894736842105263,3,88,31,0.3522727272727273,"game, poe, gear, damage, pvp, build"
91,91,191,0.06548324705294914,0.2709668369231085,0.20548358987015938,0.5119563993006853,0.6106653142039234,0.09870891490323819,0.18181818181818182,3,39,0,0,"game, poe, gear, damage, pvp, build"
92,92,184,0.30527316046840347,-0.11169975697316237,-0.41697291744156584,0.5930328553000986,0.47954343514695497,-0.11348942015314367,0.3783783783783784,3,1150,3,0.0026086956521739132,"game, remake, games, mgs, story, played"
93,93,101,-0.018800868150960236,-1.1079303967779064,-1.0891295286269462,0.4914344747347094,0.23707005927826116,-0.2543644154564483,0.22727272727272727,5,30,0,0,"san, area, bay, city, parking, beach"
94,94,109,0.02324468202699074,-0.18966962553360367,-0.2129143075605944,0.5083359048261692,0.46771391557096303,-0.04062198925520616,0.6875,1,282,257,0.9113475177304965,"team, game, season, year, teams, league"
