cluster,n_c_2016,n_c_2024,w_2016,w_2024,mittel_2016,mittel_2024,d_2016,d_2024,b_2016,b_2024,d_beitrag,w_quer,d2_quer,bei_position,bei_anteil,rest,anteil_16_pz,anteil_24_pz,treiber,n_subs,woerter,pct_2016,pct_2024,d_pct,tau_pct,ext_2016,ext_2024,d_ext,tau_ext
86,120,120,0.010967918837400604,0.011454753722794959,0.10584677754901241,-0.3867717704508001,0.0640718280072243,-0.3540360000492469,4.5025491024813085e-5,0.0014357558915334518,0.0013907304005086388,0.01121133628009778,0.06472334423752885,0.001359220818634422,3.1509581874216764e-5,1.0842021724855044e-19,0.03308411752200566,0.66666887008506,Position,120,"game, games, play, gta, sony, psvr, played, story",0.5219534211951616,0.4116190591742642,-0.11033436202089741,-0.3333333333333334,0.4918336643196726,0.466900659802868,-0.024933004516804635,-0.11111111111111113
89,88,85,0.008043140480760443,0.008113783886979763,0.5315814565863377,0.6034823646458087,0.4898065070445496,0.6362181350473619,0.0019296331653596611,0.003284244826829627,0.0013546116614699657,0.008078462183870103,0.3223419648531628,0.0013318403271053098,2.2771334364656e-5,-4.0657581468206416e-20,1.4178681667666235,1.5249833211178558,Position,88,"damage, game, level, dps, pvp, units, gear, skill",0.6536152735150749,0.6972864952824129,0.043671221767338064,0.055555555555555566,0.4758790285961255,0.5627731704183736,0.08689414182224808,0.11111111111111113
91,39,39,0.003564573622155196,0.0037227949599083618,0.06548324705294914,0.5567544888550254,0.023708297511161026,0.5894902592565786,2.0035875572828114e-6,0.0012936666537397043,0.0012916630661824215,0.003643684291031779,0.174030424564633,0.001264127739598054,2.7535326584367635e-5,-4.0657581468206416e-20,0.0014722088466340706,0.6006921450931585,Position,39,"deck, clan, elixir, level, tower, zap, hog, arena",0.5119563993006853,0.6854750038443317,0.17351860454364643,0.3333333333333334,0.49971839157612763,0.4577687943375883,-0.041949597238539305,-0.11111111111111113
7,60,59,0.005483959418700302,0.005631920580374188,1.6474866896563862,1.6220573910570049,1.6057117401145982,1.654793161458558,0.014139348463624081,0.015422115695436287,0.0012827672318122055,0.005557939999537245,2.65832529977593,8.894383323502768e-4,3.933288994619288e-4,-1.6263032587282567e-19,10.389400661890308,7.160997566248212,Position,60,"gun, barrel, rifle, glock, ammo, trigger, mags, rounds",0.9248480471805982,0.9060026216632109,-0.018845425517387326,-0.27777777777777785,0.8496960943611964,0.8274790493151184,-0.02221704504607802,0.11111111111111113
6,154,153,0.014075495841330775,0.014604810996563574,-0.04044531134158778,-0.33478888103608273,-0.08222026088337589,-0.30205311063452955,9.515276301603878e-5,0.0013324857284775953,0.0012373329654615565,0.014340153418947173,0.04899812647186287,0.0012113975145419862,2.593545091957044e-5,-1.5924219408380846e-19,0.06991695420781363,0.6187171233264825,Position,154,"vancouver, year, city, pay, canada, years, any, tax",0.4886261057952699,0.442108931253485,-0.04651717454178489,0,0.4288426263512019,0.4768726871157749,0.048030060764573,0
79,98,96,0.008957133717210493,0.009163802978235968,-0.036283759262985237,0.32400905712522665,-0.07805870880477335,0.35674482752677983,5.4577266976172495e-5,0.0011662485403629956,0.001111671273386823,0.00906046834772323,0.06668001699369015,0.0010978905635495712,1.3780709837252068e-5,-2.439454888092385e-19,0.0401026323882731,0.5415277076186971,Position,98,"skin, makeup, hair, products, face, palette, foundation, lip",0.4871811876944315,0.6303507874880114,0.14316959979357996,-0.11111111111111113,0.42361952905372297,0.38851671462081555,-0.035102814432907414,0
41,30,23,0.002741979709350151,0.002195494463535701,-0.7896106919373468,-1.184987582403703,-0.8313856414791349,-1.1522518120021499,0.0018952620917402593,0.0029149233944283574,0.0010196613026880982,0.002468737086442926,1.0094431615599553,0.001571307096968906,-5.516457942808079e-4,0,1.3926127700324686,1.3534951848064796,Position,30,"search, restrict, legacy, author, feature, sort, com, self",0.24052476379611243,0.20593656788966075,-0.03458819590645168,0.055555555555555566,0.5921526147920804,0.662386714917232,0.07023410012515163,0.22222222222222227
76,61,61,0.005575358742345307,0.005822833142420772,0.05881994968795555,-0.44882941816965666,0.017045000146167437,-0.4160936477681035,1.6198202932962e-6,0.0010081299490732113,0.001006510128779915,0.005699095942383039,0.08671222787147471,9.85051072208215e-4,2.1459056571700228e-5,-6.437450399132683e-20,0.0011902218882723138,0.468108024498319,Position,61,"yarn, pattern, stitch, knitting, knit, fabric, stitches, crochet",0.5152840711221078,0.38050494781114835,-0.13477912331095948,-0.38888888888888895,0.4628313686260466,0.4106919093214796,-0.05213945930456704,-0.22222222222222227
5,65,64,0.005940956036925326,0.0061092019854906456,0.5299138752660325,0.5886196609828802,0.4881389257242444,0.6213554313844334,0.0014156086923013671,0.0023586564161034614,9.430477238020942e-4,0.006025079011207986,0.31218109145907735,8.905245199454052e-4,5.252320385668914e-5,-5.421010862427522e-20,1.040169985385864,1.0952020584523823,Position,65,"japanese, japan, tokyo, song, kpop, babymetal, kanji, korean",0.6687377616065104,0.6922854846257843,0.02354772301927388,-0.11111111111111113,0.5149471579152027,0.5365592609283462,0.021612103013143424,0.22222222222222227
67,31,30,0.0028333790329951557,0.0028636884306987398,-0.5323189239775633,-0.8372089715440831,-0.5740938735193514,-0.80447320114253,9.338357594357045e-4,0.0018533136636784348,9.194779042427303e-4,0.002848533731846948,0.4883804534844812,9.046753868474125e-4,1.4802517395317899e-5,-5.421010862427522e-20,0.6861697964470006,0.8605547317365252,Position,31,"cat, dog, cats, dogs, animals, cute, animal, baby",0.312456928097343,0.28767173940675517,-0.024785188690587823,0,0.4461327012561951,0.47863787106689315,0.032505169810698065,0.055555555555555566
84,124,123,0.011333516131980623,0.011741122565864834,0.33363011943951815,-0.4312894702010422,0.29185516989773,-0.398553699799489,9.653825595748171e-4,0.0018650192200968811,8.99636660522064e-4,0.011537319348922728,0.12201224590994703,8.499036840765071e-4,4.9732976445556936e-5,-6.776263578034403e-21,0.7093499554966921,0.865990008107126,Position,124,"game, war, civ, server, play, map, base, any",0.5993225942340432,0.40344982400841445,-0.19587277022562877,-0.6111111111111113,0.46651311230046183,0.49293342137844715,0.026420309077985316,-0.1666666666666667
49,52,52,0.004752764829540262,0.004963726613211149,-0.3283214418396134,-0.5894289435965033,-0.37009639138140155,-0.5566931731949502,6.509925622432912e-4,0.0015382950584437634,8.873024962004722e-4,0.0048582457213757054,0.22343931399769917,8.401653399773179e-4,4.7137156223154163e-5,8.809142651444724e-20,0.4783404676994977,0.714281191195266,Position,52,"mobile, phone, sprint, roku, service, data, lte, app",0.3850968192907171,0.335664153851487,-0.049432665439230083,-0.22222222222222227,0.41890371769411305,0.4813752129937522,0.062471495299639135,0.27777777777777785
15,240,238,0.021935837674801208,0.022718594883543337,-0.01640774014203216,0.1627035800054332,-0.058182689683820274,0.19543935040698635,7.42577544029334e-5,8.677717111136064e-4,7.93513956710673e-4,0.022327216279172273,0.02079088253317426,7.7723974353172e-4,1.6274213178952982e-05,-4.404571325722362e-20,0.054563586485553046,0.40293505988821376,Position,240,"english, language, china, chinese, trip, travel, country, spanish",0.49733581071593347,0.5696658668320519,0.07233005611611842,0.1666666666666667,0.4686104591683216,0.4854347465751649,0.016824287406843275,0.22222222222222227
13,46,46,0.004204368887670232,0.004390988927071402,0.46289756965714585,0.5393911521551825,0.4211226201153577,0.5721269225567357,7.456206940818846e-4,0.001437298960830001,6.916782667481163e-4,0.004297678907370817,0.2523367383435325,6.445871746960835e-4,4.709109205203276e-5,-1.3552527156068805e-20,0.5478719300640187,0.6673853681126564,Position,46,"god, church, jesus, christian, bible, faith, believe, christ",0.6149503782140343,0.6165956523246333,0.0016452741105990043,0.055555555555555566,0.7073269647898563,0.7107121379511998,0.0033851731613434577,0.27777777777777785
52,103,95,0.009414130335435518,0.009068346697212676,0.18246189443827937,0.27646549167439827,0.14068694489649125,0.30920126207595144,1.8633215390035293e-4,8.66983098948961e-4,6.80650945048608e-4,0.009241238516324097,0.05769911846683479,7.006023561543209e-4,-1.995141110571287e-5,-1.0164395367051604e-20,0.13691432869372716,0.40256888121965334,Position,103,"server, network, router, plex, windows, file, work, data",0.5510621652524523,0.6114028093772407,0.060340644124788345,0.27777777777777785,0.5105760798246737,0.45875024858919927,-0.05182583123547441,0.1666666666666667
43,54,54,0.004935563476830271,0.005154639175257732,-0.0661065868075792,-0.39722997160204965,-0.10788153634936731,-0.36449420120049647,5.744218972629489e-5,6.848248593236495e-4,6.273826695973546e-4,0.0050451013260440014,0.07224722429694393,6.115550584750561e-4,1.582761112229841e-5,2.371692252312041e-20,0.042207738602534774,0.31798679557138376,Position,54,"bike, running, race, run, ride, miles, bikes, marathon",0.4798064900068872,0.4316906950976352,-0.048115794909252,-0.1666666666666667,0.4613013446737946,0.544208332851866,0.0829069881780714,0.3333333333333334
19,102,101,0.009322731011790512,0.009641084383352424,-0.17520767467072892,-0.36093781145797904,-0.21698262421251704,-0.32820204105642586,4.3892777985881905e-4,0.001038504634890606,5.99576855031787e-4,0.009481907697571467,0.07739901948187712,5.749366162241452e-4,2.464023880764168e-5,9.486769009248164e-20,0.3225181540945223,0.4822119941163322,Position,102,"art, drawing, draw, painting, scp, artist, work, paint",0.44576661982118476,0.41241380351852913,-0.03335281630265563,-0.3333333333333334,0.42617352652079665,0.41495434945789444,-0.011219177062902208,0
70,110,108,0.010053925600950553,0.010309278350515464,0.1102546980796112,0.21657089275845,0.0684797485378231,0.24930666316000316,4.714764240731043e-5,6.407609515048997e-4,5.936133090975893e-4,0.010181601975733008,0.03342164412788938,5.850790003745528e-4,8.534308723036498e-6,4.0657581468206416e-20,0.034643445452473685,0.2975264681506248,Position,110,"business, job, company, work, marketing, product, sales, site",0.5283674440742504,0.5935751069820471,0.06520766290779667,0.27777777777777785,0.4143358116277416,0.42023562370565526,0.00589981207791368,-0.11111111111111113
25,37,37,0.003381774974865186,0.003531882397861779,0.04055279244441189,0.36514271802459564,-0.0012221570973762197,0.3978784884261488,5.051248963959552e-9,5.591227364866601e-4,5.591176852376962e-4,0.003456828686363483,0.07915439261012386,5.472360233441298e-4,1.1881661893566263e-5,1.0503208545953324e-19,3.711588936685913e-6,0.2596191491677008,Position,37,"camera, film, video, render, footage, premiere, work, blender",0.5059780849634614,0.6381487043947611,0.1321706194312997,-0.1666666666666667,0.47580546786179573,0.507914542614858,0.032109074753062294,0.055555555555555566
56,77,77,0.007037747920665387,0.007350133638793432,-0.7436547036207917,-0.8456590814011429,-0.7854296531625797,-0.8129233109995897,0.004341584862916182,0.004857293989750214,5.157091268340316e-4,0.00719394077972941,0.6388720248168129,3.1613463056971323e-4,1.9957449626431826e-4,1.0842021724855044e-19,3.190137421429177,2.255401990626121,Position,77,"san, year, team, game, season, giants, lakers, dodgers",0.2974015813878605,0.2974483830725381,4.6801684677633126e-5,0.1666666666666667,0.5757716436539329,0.5835367876827994,0.007765144028866522,0.055555555555555566
